H,Mz
0.0,-0.0
0.01,0.35248506326546425
0.02,0.7043864904178446
0.03,1.0551134762911543
0.04,1.4040763668919962
0.05,1.7506576425727172
0.06,2.0943949103886297
0.07,2.434590334759668
0.08,2.7706711143361087
0.09,3.1020858067036863
0.1,3.428167992930062
0.11,3.7484636102398654
0.12,4.062285322126893
0.13,4.369028005420547
0.14,4.668168112171354
0.15,4.9586422710484035
0.16,5.241254366254186
0.17,5.513917926450883
0.18,5.776725537220024
0.19,6.02888323836022
0.2,6.269572350104622
0.21,6.4987967605858525
0.22,6.715486195973921
0.23,6.9189695462902785
0.24,7.108603692618864
0.25,7.283717263122296
0.26,7.443901322018392
0.27,7.588082759222556
0.28,7.715311027064166
0.29,7.823421376245509
0.3,7.915591467643983
0.31,7.986429358339161
0.32,8.035759575557188
0.33,8.061716601453345
0.34,8.06197607136432
0.35000000000000003,8.032834875803891
0.36,7.969170643260978
0.37,7.861914805512272
0.38,7.6932535226564305
0.39,6.844054936106667
0.4,3.3075609818781517
0.41000000000000003,3.50271769217826
0.42,3.7235712948836044
0.43,1.3188173775147134
0.44,1.5266527193594792
0.45,1.7826198789289407
0.46,0.19779657964638817
0.47000000000000003,0.2750468834623541
0.48,0.3902336253890731
0.49,0.5207082804468919
0.5,0.662390839178251
0.51,0.8130126359836864
0.52,0.9707753305186217
0.53,1.134277126987947
0.54,1.3023025566406354
0.55,1.473493982089603
0.56,1.6469181251135203
0.5700000000000001,1.8215881994639542
0.58,1.9966170890754447
0.59,2.171128397649562
0.6,2.3443956712895213
0.61,2.5157351779240837
0.62,2.6843223192697927
0.63,2.849509339054484
0.64,3.0107181049551803
0.65,3.1672255047014755
0.66,3.3185956389368116
0.67,3.464107499901353
0.68,3.6033331620552143
0.6900000000000001,3.735683800302877
0.7000000000000001,3.8606963951284725
0.71,3.9777598415461934
0.72,4.086594526547683
0.73,4.186669450378323
0.74,4.277587626031934
0.75,4.35866611629374
0.76,4.430126554446769
0.77,4.490852772179352
0.78,4.541170766398186
0.79,4.580194974277155
0.8,4.607732203986533
0.81,4.623506302243519
0.8200000000000001,4.627097572128907
0.8300000000000001,4.6180770980572525
0.84,3.837721397965587
0.85,3.9076320266453
0.86,3.970757302180033
0.87,2.7563002904341976
0.88,1.3430978709990913
0.89,-0.022109856561507258
